,name,symbol,country,has_intraday,has_eod,open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
0,Apple Inc,AAPL,,False,True,186.06,186.74,185.19,185.92,40444700.0,186.74,185.19,185.92,186.06,40477782.0,1.0,0.0,AAPL,XNAS,2024-01-12
1,Apple Inc,AAPL,,False,True,186.54,187.05,183.62,185.59,49128400.0,187.05,183.62,185.59,186.54,49128408.0,1.0,0.0,AAPL,XNAS,2024-01-11
2,Apple Inc,AAPL,,False,True,184.35,186.4,183.92,186.19,46792900.0,186.4,183.92,186.19,184.35,46792908.0,1.0,0.0,AAPL,XNAS,2024-01-10
3,Apple Inc,AAPL,,False,True,183.92,185.15,182.73,185.14,42841800.0,185.15,182.73,185.14,183.92,42841809.0,1.0,0.0,AAPL,XNAS,2024-01-09
4,Apple Inc,AAPL,,False,True,182.09,185.6,181.5,185.56,59144500.0,185.6,181.5,185.56,182.085,59144470.0,1.0,0.0,AAPL,XNAS,2024-01-08
5,Apple Inc,AAPL,,False,True,181.99,182.76,180.17,181.18,62303300.0,182.76,180.17,181.18,181.99,62196924.0,1.0,0.0,AAPL,XNAS,2024-01-05
6,Apple Inc,AAPL,,False,True,182.15,183.09,180.88,181.91,71983600.0,183.0872,180.88,181.91,182.15,71983570.0,1.0,0.0,AAPL,XNAS,2024-01-04
7,Apple Inc,AAPL,,False,True,184.22,185.88,183.43,184.25,58414500.0,185.88,183.43,184.25,184.22,58414460.0,1.0,0.0,AAPL,XNAS,2024-01-03
8,Apple Inc,AAPL,,False,True,187.15,188.44,183.89,185.64,82488700.0,188.44,183.885,185.64,187.15,82488674.0,1.0,0.0,AAPL,XNAS,2024-01-02
9,Apple Inc,AAPL,,False,True,193.9,194.4,191.73,192.53,42628800.0,194.4,191.725,192.53,193.9,42672148.0,1.0,0.0,AAPL,XNAS,2023-12-29
10,Apple Inc,AAPL,,False,True,194.14,194.66,193.17,193.58,34049900.0,194.66,193.17,193.58,194.14,34049898.0,1.0,0.0,AAPL,XNAS,2023-12-28
11,Apple Inc,AAPL,,False,True,192.49,193.5,191.09,193.15,48087700.0,193.5,191.09,193.15,192.49,47899806.0,1.0,0.0,AAPL,XNAS,2023-12-27
12,Apple Inc,AAPL,,False,True,193.61,193.89,192.83,193.05,28919300.0,193.89,192.83,193.05,193.61,28919310.0,1.0,0.0,AAPL,XNAS,2023-12-26
13,Apple Inc,AAPL,,False,True,195.18,195.41,192.97,193.6,37122800.0,195.41,192.97,193.6,195.18,37149570.0,1.0,0.0,AAPL,XNAS,2023-12-22
14,Apple Inc,AAPL,,False,True,196.1,197.08,193.5,194.68,46482500.0,197.08,193.5,194.68,196.1,46482549.0,1.0,0.0,AAPL,XNAS,2023-12-21
15,Apple Inc,AAPL,,False,True,196.9,197.68,194.83,194.83,52242800.0,197.68,194.83,194.83,196.9,52242815.0,1.0,0.0,AAPL,XNAS,2023-12-20
16,Apple Inc,AAPL,,False,True,196.16,196.95,195.89,196.94,40714100.0,196.95,195.89,196.94,196.16,40233138.0,1.0,0.0,AAPL,XNAS,2023-12-19
17,Apple Inc,AAPL,,False,True,196.09,196.63,194.39,195.89,55751900.0,196.63,194.39,195.89,196.09,55751861.0,1.0,0.0,AAPL,XNAS,2023-12-18
18,Apple Inc,AAPL,,False,True,197.53,198.4,197.0,197.57,128256700.0,198.3999,197.0,197.57,197.53,128538401.0,1.0,0.0,AAPL,XNAS,2023-12-15
19,Apple Inc,AAPL,,False,True,198.02,199.62,196.16,198.11,66831600.0,199.62,196.16,198.11,198.02,66831572.0,1.0,0.0,AAPL,XNAS,2023-12-14
20,Apple Inc,AAPL,,False,True,195.09,198.0,194.85,197.96,70404200.0,198.0,194.85,197.96,195.09,70404183.0,1.0,0.0,AAPL,XNAS,2023-12-13
21,Apple Inc,AAPL,,False,True,193.08,194.72,191.72,194.71,52696900.0,194.72,191.721,194.71,193.08,52696900.0,1.0,0.0,AAPL,XNAS,2023-12-12
22,Apple Inc,AAPL,,False,True,193.11,193.49,191.42,193.18,60943700.0,193.49,191.42,193.18,193.11,60943699.0,1.0,0.0,AAPL,XNAS,2023-12-11
